,Text
398,@Erdayastronaut @teslaownersSV Sure
399,@Erdayastronaut @teslaownersSV Haha ok
400,"@kkvr2823 @tesla_adri @teslaownersSV There are subtle, important, differences between US &amp; Canada traffic rules, bu… https://t.co/XZX9ppVL92"
401,@tesla_adri @teslaownersSV Yes
402,@teslaownersSV We need a “match other traffic speed” setting
403,@stevewoz Definitely
404,@flcnhvy @h3_extrachars It’s a step in that direction
405,@13arm13arm It’s one <U+0001F525> or 1/2 <U+0001F525> if you don’t have a car with pedestrian speaker. We couldn’t get everything done in… https://t.co/7HkZA1OhE4
406,@westcoastbill The writing on Cobra Kai is sick<U+0001F44C>
407,@AfloatHickory Haha I will save you the nightmare of seeing me in those shorts
408,@h3_extrachars You can upload custom music/sounds
409,"@jgrano305 Unfortunately, pedestrian speaker is needed, otherwise no external sound generator except actual horn"
410,"Change your horn sound to <U+0001F410>, <U+0001F40D><U+0001F3B7>, <U+0001F4A8> or holiday jingles with latest Tesla software update!"
411,Merry Christmas &amp; happy holidays! <U+0001F381> https://t.co/uk6NSPwR9R
412,@Tesmanian_com Great game!
413,@harsimranbansal @heydave7 It will most likely make sense for Starlink to go public once the revenue growth is reasonably predictable
414,"@heydave7 Engineering, design &amp; general company operations absorb vast majority of my mind &amp; are the fundamental li… https://t.co/VxV7gHUMbd"
415,@ElonsWorld @Real_Futurist @lexfridman Yes
416,@flcnhvy @MarcusHouseGame A few months
417,@MarcusHouseGame Coming soon
418,@OLHZN Minor
419,@TrevorMahlmann Yeah
420,12 story rocket turns off its engines &amp; does a controlled fall https://t.co/HCRgyx42rn
421,"@Erdayastronaut Yup, we’re just ironing out a few bugs"
422,"To Tesla owners taking delivery in the final days of year, your support is super appreciated!!"
423,@DeepMind @nature Frictionless AI. What could possibly go wrong?
424,@heydave7 Good idea
425,"@wintonARK During the darkest days of the Model 3 program, I reached out to Tim Cook to discuss the possibility of… https://t.co/opTz9UrNE0"
426,"@wintonARK Strange, if true. 

- Tesla already uses iron-phosphate for medium range cars made in our Shanghai facto… https://t.co/MIlWSilvRT"
427,@archillect Sparta’s reply to Macedon
428,@LizClaman @Tesla @FoxBusiness @ClamanCountdown Hi Liz!
429,Thanks to everyone who worked so hard to make Tesla successful. My heart goes out to you.
430,@teslaownerssv Indeed
431,"@Kristennetten It was a seriously twisted affair, but all’s that ends well."
432,"@MKBHD They are, although it’s kind low-key. Tesla Superchargers are being made accessible to other electric cars."
433,RT @SpaceX: Photos from yesterday’s launch and landing <U+2192> https://t.co/095WHX44BX https://t.co/6ojFySuaxo
434,@michael_saylor Are such large transactions even possible?
435,<U+2665><U+FE0F> i love all u crazy ppl out there <U+2665><U+FE0F>
436,@BizzzzzyD You have a point (sigh)
437,@pcgamer Great game
438,"@flcnhvy Pretty much. The main value of college used to be hanging out, having pseudo intellectual conversations &amp;… https://t.co/0S0ybsCm0p"
439,"Come for the comments, 
stay for the memes<U+0001F484>"
440,@padgeuk Absolutely. We will release FSD subscription early next year.
441,One word: Doge
442,Bitcoin is almost as bs as fiat money
443,@hajek_miloslav Great nails &amp; lipstick
444,@MightyTesla @Kristennetten @lauren_kalo @SawyerMerritt @jasondebolt @CodingMark @28delayslater @BabyTesla3… https://t.co/dvwZGTPpda
445,https://t.co/EbOjGshvrq
446,@CallowayTech Sounds about right
447,“Lord” Edge
448,@xDreamCoding @frank_thelen Nice branding
449,"Just kidding, who needs a safe word anyway!?"
450,Bitcoin is my safe word
451,RT @SpaceX: Falcon 9’s first stage has landed on Landing Zone 1 https://t.co/mR18Qv3GoC
452,RT @SpaceX: Liftoff! https://t.co/AG4rAR6qNp
453,@SpaceX Standing down for today to inspect rocket. Hopefully launching tomorrow.
454,@SpaceX Pressure is slightly high in upper stage liquid oxygen tank. Review underway.
455,@Tesla__Mania I am hoping to be back next month!
456,@nytimes Very impressive mission by China!
457,@SpaceX Last launch of 2020 coming up
458,"@teslaownerssv @astonmartin @Tesla He was indeed quite grumpy, but we did not actually know what we were doing, so he had a point"
459,@teslaownerssv It will get absurdly good. Tesla AI/Autopilot engineering is awesome! There’s some great AI out ther… https://t.co/v8mUhEApOQ
460,"Star Light, Star Bright https://t.co/6CeTAZSXCO"
461,@Teslarati @13ericralph31 This is incorrect
462,@TheBabylonBee <U+0001F923><U+0001F923>
463,@pcgamer But it is visually stunning &amp; playability is good
464,"@pcgamer A t-shirt being better armor than a Kevlar chest plate doesn’t make sense in the absence of magic. Also, w… https://t.co/IYdKttVsqk"
465,@cleantechnica Oh and umm … https://t.co/jtg944ERCy
466,"@cleantechnica I absolutely support trans, but all these pronouns are an esthetic nightmare"
467,@Erdayastronaut @flightclubio The Raptors were well below max thrust or the ship would have blown through the altit… https://t.co/ikCRzpyxTr
468,"@Erdayastronaut @flightclubio Far from fully loaded, but we were going slow or the ship would have gone crazy high/far with three engines"
469,"@picot_john @CyberpunkGame It’s a good to great game imo, but improving what may seem like mere surface detail woul… https://t.co/zm0SZ9CbZg"
470,"@truth_tesla @Tesmanian_com Perhaps slightly more confident, but it’s essential to view this as output vs time. As… https://t.co/RkFVJvotSE"
471,@Tesmanian_com Dankeschön Brandenburg und Grünheide!
472,@austinbarnard45 @lrocket Sure hope that future doesn’t come to pass!
473,"@Tesmanian_com Giga Berlin-Brandenburg will be the first to use our new structural pack architecture, 4680 (world’s… https://t.co/wESAfntz7a"
474,"@Dota2funny1 @CyberpunkGame Original Deus Ex was incredible, Human Revolution was also great"
475,@CyberpunkGame The objective reality is that it is impossible to run an advanced game well on old hardware. This is… https://t.co/zO01QsU1wt
476,RT @SpaceX: Starship landing flip maneuver https://t.co/QuD9HwZ9CX
477,@TheOnion .@TheBabylonBee
478,Ascent to the Heavens https://t.co/oGgsw88YRZ
479,@engineers_feed <U+0001F923>
480,"@PPathole @CyberpunkGame Yeah, briefly. Seems pretty good. I picked Nomad, so start was a little slow, but picks up… https://t.co/nLLIPnbMxr"
481,@Zwiebelbach @its_menieb @CyberpunkGame https://t.co/aaYYPCPP1i
482,Hehe https://t.co/SkLMiL3OxT
483,@CyberpunkGame https://t.co/RHKsB40xqr
484,@CyberpunkGame https://t.co/kmG7C9qF6h
485,https://t.co/sdmXKbHdzd
486,https://t.co/qbNT1dUsED
487,"RT @SpaceX: Falcon 9 launches SXM-7 to orbit, completing SpaceX’s 25th launch this year https://t.co/ZRur0ewNlv"
488,@QuantaMagazine init void
489,@PPathole @ErcXspace @SpaceX *cooling haha
490,"@PPathole @ErcXspace @SpaceX I still have a soft spot in my heart for transpiration cooking. In theory, it would us… https://t.co/9SsChDKFAD"
491,"@ErcXspace @SpaceX Ship leeward side will be bare metal, windward will have black, hexagonal heat shield tiles"
492,RT @Pockn_CG: Can't wait!! @elonmusk #spacex #SpaceXStarship https://t.co/ynEtMywFvg
493,@conexionspacial @Pockn_CG Yes
494,"@SpacePadreIsle @SpaceX Agreed, should be preserved in memory of SN8"
495,RT @SpaceX: Photos from Starship SN8’s flight test <U+2192> https://t.co/095WHX44BX https://t.co/5OzLYF7QRf
496,@NASASpaceflight @BocaChicaGal Exactly! Woohoo!!
497,"@Erdayastronaut @SpaceX SN8 did great! Even reaching apogee would’ve been great, so controlling all way to putting… https://t.co/xwm1fxmX0R"
498,"Thank you, South Texas for your support! This is the gateway to Mars."
499,"Life, the Universe and Everything https://t.co/1ZCzInfc4u"
500,"@Erdayastronaut Yeah, engines did great!"
501,"Mars, here we come!!"
502,"Fuel header tank pressure was low during landing burn, causing touchdown velocity to be high &amp; RUD, but we got all… https://t.co/wGJVdSahmF"
503,"Successful ascent, switchover to header tanks &amp; precise flap control to landing point! https://t.co/IIraiESg5M"
504,@TheBabylonBee <U+0001F920>
505,@wonderofscience Near-orbital space is the fastest way to travel long distance on Earth!
506,"@SpaceX @Space_Station It’s called the Space “Station”, but it’s actually moving around Earth at ~25 times the spee… https://t.co/vYVIvrtZsa"
507,RT @SpaceX: Time-lapse of Dragon on approach – two Dragons now docked to the @space_station https://t.co/I046jBmC7o
508,"“So long, and thanks for the orifice!”
- Alien message decrypted"
509,@SpaceX Probably 1/3 chance of completing all mission objectives
510,@SpaceX Hopefully flying tomorrow
511,@NASASpaceflight Yup
512,"RT @NASA: Success! At 1:40pm ET, @SpaceX's upgraded Dragon cargo spacecraft autonomously docked to the @Space_Station. 

<U+0001F409> This is the 1st…"
513,Out on the pad in South Texas https://t.co/RcYOXXpTc2
514,RT @Space_Station: The station and the @SpaceX #Dragon are going into an orbital night period before the 1:30pm ET docking. The #CrewDragon…
515,"@Space_Station @SpaceX Wow, Station looks amazing!"
516,"RT @NASA: Good morning, earthlings. <U+2600><U+FE0F> The journey continues! 

Watch as the NASA @SpaceX cargo resupply mission docks to the @Space_Statio…"
517,"@NASASpaceflight Knock, knock, singing telegram!"
518,@lexfridman Carrying even more symbiotic bacteria (~40 trillion) than cells
519,@AdamKlotz_ @lexfridman Yes
520,@lexfridman We are mobile cell colonies
521,100
522,RT @SpaceX: Tracking footage from a helicopter of today’s Falcon 9 launch off LC-39A https://t.co/7rYVZRTS18
523,"RT @Erdayastronaut: There’s something genuinely magical about seeing #Starship #SN8 in person. Boca Chica is beautiful, quiet and serine. T…"
524,"Im Gespräch mit Mathias Döpfner 

https://t.co/bqa5pIAOnk"
525,RT @SpaceX: Dragon separation confirmed; the spacecraft is on its way to the @space_station. Autonomous docking tomorrow at approximately 1…
526,RT @SpaceX: Falcon 9 booster has landed on the Of Course I Still Love You droneship https://t.co/cNL6t0LQ0g
527,RT @SpaceX: Liftoff! https://t.co/pgk24cph9e
528,@haya2e_jaxa @JAXA_en Congratulations!
529,@haya2e_jaxa Congratulations!
530,"@RDAnglePhoto @SpaceX @Teslarati Yes, it does."
531,RT @boringcompany: Tunnel Rave https://t.co/d3JKOIAsy7
532,@RationalEtienne And no toilet paper <U+0001F923><U+0001F923>
533,Watch Demolition Man
534,Prometheus Unbound
535,RT @SpaceX: The Falcon 9 booster supporting this mission previously launched @NASA astronauts Bob Behnken and Doug Hurley to the @space_sta…
536,@ErcXspace @SpaceX @NASASpaceflight @Erdayastronaut @MarcusHouseGame @FelixSchlang Not bad
537,@TheOnion It was a beast compared to the VIC-20
538,"@Tesmanian_com Award accepted on behalf of the great people at Tesla, SpaceX, Neuralink &amp; Boring Co"
539,"Much of what people think of an science is actually engineering, eg no such thing as a “rocket scientist”, only roc… https://t.co/ws70UvCRyN"
540,"Science is discovering the essential truths about what exists in the Universe, engineering is about creating things… https://t.co/XMQTBrLDYP"
541,@justpaulinelol It does get a bit cold at night
542,@engineers_feed Paint makes a hell of a difference
543,@DeepMind Congrats!
544,@lrocket Thanks for everything you did to help build SpaceX! Some of the best memories ever.
545,@RGVaerialphotos It will be real soon
546,@MarcusHouseGame @bcart03 @nextspaceflight @NASASpaceflight Starship legs are one of the hardest problems. External… https://t.co/csIZk6sEVu
547,"@bcart03 @nextspaceflight @NASASpaceflight Static fire is not risky from build site, but we need to clear the build site for early flights"
548,@nextspaceflight @NASASpaceflight Just a static fire tomorrow. Flight no earlier than Wednesday.
549,@ErcXspace @SpaceX It will have landing legs
550,"@eugenelee3 @PPathole @karpathy Yes, very sad news. Tony was great."
551,"@PPathole @karpathy For a second there, I thought that was a pic of Thanos haha"
552,"@Poppa_BearQ @ID_AA_Carmack Yeah, truncate zeros &amp; then round"
553,@dburkland @ID_AA_Carmack Probably going to a wider beta in ~2 weeks
554,@ID_AA_Carmack fp16 with least important digits truncated (so it feels like fp32) is what we’re betting on for training with Dojo
555,@ID_AA_Carmack Int8 for almost all heavy lifting in inference works great
556,@thisisjendoll But actually! https://t.co/lb14pKsayI
557,@thisisjendoll https://t.co/mMg5b8b40z
558,Happy Thanksgiving!
559,@teslaownerssv @JohnEG78 @TeslaChillMode @UNPLGD3 @MFrunker @ccteslaclub Hopefully next month
560,@JohnEG78 @TeslaChillMode @UNPLGD3 @MFrunker @ccteslaclub Ok. Overall air suspension height &amp; damping algorithm is… https://t.co/opgo08vd4Y
561,@karpathy Haha true
562,@HumanoidHistory The Promise is greatly needed
563,"@EvaFoxU We will have special colors for new Roadster, as we did for the original"
564,@RationalEtienne @TheBabylonBee <U+0001F923><U+0001F923>
565,.@TheBabylonBee is savage <U+0001F923><U+0001F923>
566,@WorldAndScience If you ever wondered where we came from
567,"This is a life leader launch, so more risk than normal https://t.co/EtFP9IELrf"
568,"@TesLatino @flcnhvy @thesheetztweetz Yes, but only slightly filled"
569,@aholstein404 @flcnhvy @thesheetztweetz This is a subject of much debate
570,@flcnhvy @thesheetztweetz Major upgrades are slated for SN15
571,"@flcnhvy @thesheetztweetz Many small improvements, but overall similar. Wiring is more robust, engines are more mat… https://t.co/7oFbmY1N25"
572,@thesheetztweetz But that’s why we have SN 9 &amp; SN10
573,"@thesheetztweetz Lot of things need to go right, so maybe 1/3 chance"
574,Good Starship SN8 static fire! Aiming for first 15km / ~50k ft altitude flight next week. Goals are to test 3 engin… https://t.co/7OjorqNhb6
575,@Erdayastronaut @MarcusHouseGame Maybe start on that a year from now. Depends on how Starship progress goes.
576,@RationalEtienne @MarcusHouseGame Not yet
577,@StarshipFairing @MarcusHouseGame Not bad! We will definitely need more engines if we make the cargo bay all propel… https://t.co/j2uVULTatv
578,"@MarcusHouseGame Rapid &amp; complete rocket reuse, low cost propellant, orbital refilling &amp; propellant production at d… https://t.co/UmyUR7yShY"
579,@Erdayastronaut @PPathole @Teslarati @TeslaRoadTrip Yes
580,"@PPathole @Teslarati @TeslaRoadTrip We’re still far from simply video in, control out. The biggest game-changer, cu… https://t.co/nb5Hl7gzlx"
581,@Teslarati @TeslaRoadTrip FSD Beta 5 coming out in a few days. Improvement should be significant.
582,@XHNews Exciting mission!
583,@vincent13031925 @Tesla Wow
584,@Liv_Boeree Yea
585,"Tomorrow will be the 7th flight of this rocket, landing on droneship Of Course I Still Love You"
586,@JohnnaCrider1 @teslaownerssv @28delayslater Sure
587,@FutureJurvetson @flcnhvy True
588,@RationalEtienne @heydave7 @philwhln We have quiet a queue of products to build! Better do new Roadster at some point<U+0001F62C>.
589,"@RationalEtienne @ShyCybertruck Fate loves irony, but hates hypocrisy"
590,"RT @NASA: Booster separation, second-engine start, and fairing separation as the U.S.-European Sentinel-6 Michael Freilich ocean-observing…"
591,@ICannot_Enough @heydave7 Yes <U+0001F603>
592,@flcnhvy Our data center was named Skynet as a joke over 10 years ago. Might have been tempting fate!
593,@heydave7 @philwhln Tesla is a vehicle for creating &amp; producing many useful products
594,@NASASpaceflight Largest cast titanium part in the world. No heat shielding needed.
595,Landing at Vandenberg AFB in California https://t.co/46J2GcCjP0
596,"@tobyliiiiiiiiii @SpaceX @NASA @NASA_LSP @NASAJPL @esa Actually, off to the side (so it doesn’t take out the launch… https://t.co/Fr9aUCYWCO"
597,@tobyliiiiiiiiii @SpaceX @NASA @NASA_LSP @NASAJPL @esa Where it should be!
598,"@philwhln @heydave7 Because I am not an investor. Tesla is definitely not the only good company, but investing is n… https://t.co/wDUz0wnuIn"
599,"Well, almost anything https://t.co/FFPVDsqruC"
600,Quite the day ahead https://t.co/apZNgmo0k7
601,RT @SpaceX: Crew-1’s view of Earth during Dragon’s flight to the @space_station https://t.co/lQW6TYmpB7
602,@NASAaero @LockheedMartin Now *this* is what you’d call pointy!
603,@cleantechnica Cool
604,"@Astro_Fonseca @Space_Station @wonderofscience @VirtualAstro They’re moving at ~25 times the speed of sound, but it feels like nothing"
605,@WorldAndScience https://t.co/XAJaN4j9ZR
606,@vicentes @EvaFoxU @PPathole @mirojurcevic @TashaARK @Space_Station There will always be upgrades
607,@EvaFoxU @PPathole @mirojurcevic @TashaARK @Space_Station It will be better than human vision by quite a margin
608,@enn_nafnlaus @mirojurcevic @TashaARK @Space_Station Reality looks like a strange ghost-world at radar wavelengths.… https://t.co/DMGov9rcnu
609,@PPathole @mirojurcevic @TashaARK @Space_Station Exactly
610,@mirojurcevic @TashaARK This is a misperception. SpaceX developed &amp; continues to use lidar for Dragon docking with… https://t.co/3I0bWGjlQp
611,@PhilippeCROIZON @SpaceX One day we will fly you on Starship
612,@Peter_J_Beck Well done!
613,"@hisdirtremoves @SpaceX I can’t comment on turbopump internal details, but you’re roughly in the ballpark. Wow, roc… https://t.co/0SRlFg03Fg"
614,"@TashaARK To be clear, this was just an XPeng problem. Other companies in China have not done this."
615,"@IsaacLatterell @TashaARK @karpathy Andrej is awesome, but it should be said that we have a very talented Autopilot… https://t.co/64ocngk3ey"
616,"@spacetouristuk @TashaARK Yeah. They stole Apple’s code too.
https://t.co/gy4DT7Pq9N"
617,@TashaARK They have an old version of our software &amp; don’t have our NN inference computer
618,@levie Wild times!
619,@RocketLab Congrats!
620,@slashdot .@TheOnion
621,@ID_AA_Carmack Yup
622,"@flcnhvy Change out a few parts, otherwise fine"
623,@Forbes Caution strongly advised with SPACs
624,@AdamKIotz @Suvitruf @archillect Sure
625,@Suvitruf @archillect Haha sexy cropping champion of all time
626,"@tweetmenima @teslaownerssv If next week’s release looks good, we will widen beta"
627,"@justpaulinelol @teslaownerssv Unfortunately, there are too many rules around liquor distribution, even in the US.… https://t.co/kvHlbueE1u"
628,"@teslaownerssv Next week’s release is special. Lot of fundamental improvements, both important bug fixes &amp; entire n… https://t.co/BV5STdWNgj"
629,@westcoastbill @SpaceX 13 years &amp; $11 billion … wow
630,@OwenSparks_ @flcnhvy @Tesla Safety is our primary design goal
631,@PPathole @AstroJordy @flcnhvy Fully
632,@Astronomiaum Let the Martians decide their own future
633,@shifthappends @Tesla A lot of my brain space is spent dealing with both units!
634,"@Astronomiaum Terraforming will be too slow to be relevant in our lifetime. However, we can establish a human base… https://t.co/uygaAE7g3r"
635,@PPathole @xDreamCoding @garyblack00 That is certainly the intention!
636,@xDreamCoding @garyblack00 https://t.co/fREZwjCwNa
637,@garyblack00 The only publicly traded stock I own is Tesla
638,@garyblack00 Wise words from Bogle. The point of companies is products &amp; services. They have no point in &amp; of thems… https://t.co/eNCU8cBLpy
639,"@teslaownerssv @AstroJordy @flcnhvy No, just a mild cold. Same with my bro. Def had cov2 though. Pc&lt;20 means viral… https://t.co/UySAnpqtFI"
640,"@Astronomiaum Life in glass domes at first. Eventually, terraformed to support life, like Earth."
641,@AstroJordy @flcnhvy Yeah
642,"@Daywalker_xD @Astronomiaum I was going to say “Sim!”, but that seemed too obvious haha"
643,@Astronomiaum Deveras!
644,"@flcnhvy And cases with high (non-infectious) Ct should quarantine for a few days, while getting another test. Seco… https://t.co/oAlvZwCMIO"
645,@tobyliiiiiiiiii So many things you want &amp; some you didn’t know you wanted
646,@nichegamer Maybe a little Mercy … https://t.co/9iE40HOihr
647,Tesla holiday software release is <U+0001F525><U+0001F525>
648,@StaceyR28715306 @Maisie_Williams <U+0001F60F>
649,Cobra Kai is a deep cut
650,@archillect It’s all cake &amp; someone took a bite
651,@nichegamer There is such a thing as too much sentience
652,Deus ex machine learning https://t.co/5ZSYalVczx
653,"@peterrhague It’s designed to make life multiplanetary, otherwise extreme overkill for mere Earth sector activity!… https://t.co/yjLTT8pEEu"
654,@Kristennetten @royalsociety More like he gave it his blessing. It was sort of a groundswell of those who believed… https://t.co/fwK1ziHfEg
655,Nullius in Verba @royalsociety
656,@westcoastbill Indeed
657,@ReflexFunds @nickidk4 @pcgamer Dojo/Doge
658,"@PPathole @Erdayastronaut @rweb11742 Yeah, looks like marginal cost of launch will be less than $1M for more than 1… https://t.co/rNSJ5FkDXT"
659,@speculawyer @Erdayastronaut @rweb11742 Exactly
660,"@Erdayastronaut @rweb11742 Merlin is a strong local maximum design, but kerosene is suboptimal fuel, no matter what… https://t.co/JoetYsKGp7"
661,"@parstalberg @josh_bickett @ICannot_Enough @Erdayastronaut @rweb11742 Yes, but from a visiting American. Ah, the irony is just too much!!"
662,"@josh_bickett @ICannot_Enough @Erdayastronaut @rweb11742 Yeah, PCR Ct was unequivocal at &lt;20. Doesn’t matter what m… https://t.co/YJdogoKX8Q"
663,@flcnhvy @LUGG4S1 @pcgamer Maybe making some notable changes. Will wait until figurative &amp; literal dust settles.
664,"@ICannot_Enough @Erdayastronaut @rweb11742 Pretty close. Definitely feel <U+0001F4AF> if I take DayQuil. Frankly, this was one… https://t.co/hj0ThLR48N"
665,@LUGG4S1 @pcgamer Avionics cables moving to steel pipe shields &amp; adding water-cooled steel pipes to test pad
666,"@LUGG4S1 @pcgamer About 2 secs after starting engines, martyte covering concrete below shattered, sending blades of… https://t.co/vilv1S16Yo"
667,@Erdayastronaut @rweb11742 The most amazing thing about rocket engines is that they *sometimes* don’t blow up! The… https://t.co/EUXoocFR9T
668,@pcgamer We should just count the atoms at this point
669,@DJSnM @Erdayastronaut @CharlesNOtrumps @rweb11742 Absolutely. Production/testing of rocket engines is over 90% of… https://t.co/Tv3piXzp4I
670,@Erdayastronaut @CharlesNOtrumps @rweb11742 Our first Merlin engine design was really bad tbh. Nothing worked well… https://t.co/Y5njREPvtc
671,@billhuang688 @JohnnaCrider1 @timmerenginerd @jack Maybe *I* just love irony haha
672,"@GreenIsClutch @JohnnaCrider1 @timmerenginerd @jack They’re on their way! Hopefully, more Teslaquila next month."
673,@ChrisG_NSF Special permission received from Stonecutters Guild! https://t.co/SW5RBm1sRB
674,@JohnnaCrider1 @timmerenginerd @jack Fate <U+0001F5A4> Irony
675,@jack Well said.
676,"@trylolli @Maisie_Williams <U+0001F47B> <U+0001F4B5> 
https://t.co/UWerAhxUev"
677,"@Erdayastronaut @rweb11742 Damn, that’s not easy! I spent quite a bit of time looking at Russian/Ukrainian engines. They’re good."
678,@PPathole @michaelmina_lab Yes
679,RT @SpaceX: Docking confirmed – Crew Dragon has arrived at the @space_station!
680,@Maisie_Williams <U+0001F3B6> Toss a bitcoin to ur Witcher <U+0001F3B6>
681,@Kristennetten <U+0001F609>
682,"RT @NASA: <U+0001F409> Enter the Crew Dragon. At 4:48 p.m. EST (9:48 p.m. UTC), the NASA @SpaceX Crew-1 astronauts give you a LIVE tour of their space…"
683,"@WhatsupFranks @michaelmina_lab CureVac, Moderna &amp; a few others. Tesla makes the machine CureVac uses to go from kn… https://t.co/kVEPRq79Rl"
684,@michaelmina_lab Creating synthetic mRNA for cures/vaccines is the future of medicine imo. Turns it (mostly) into a… https://t.co/Yp7djaWikS
685,@gaertner_anne @Neuro_Skeptic @DresdenTea @judith_herbers Haha
686,@michaelmina_lab Great thread
687,"@SamTalksTesla I’m ok, thanks for asking. No symptoms for past few days, apart from fatigue. Unless something chang… https://t.co/S8EO2xB2sf"
688,<U+2665><U+FE0F>
689,Launch in 5 minutes
690,"@flcnhvy Yeah, with cooling channels integrated into the chamber walls"
691,"The same propellant is used either for abort or for orbital maneuvering, as one use obviates the other"
692,"Dragon can also hover &amp; land propulsively, but we use the parachutes for maximum safety https://t.co/Mr7VFIQwWf"
693,"Thrusters are integrated with spacecraft, enabling abort capability all the way to abort for increased safety https://t.co/KrOHKOr6AE"
694,RT @NASA: What song would you play on your ride out to the launch pad? #LaunchAmerica https://t.co/vzhxUn6Yie
695,RT @SpaceX: Dragon has completed 22 flights to and from the @space_station. It was designed from the beginning with human spaceflight in mi…
696,RT @SpaceX: Dragon is the only spacecraft currently flying capable of returning significant amounts of cargo to Earth and is the first priv…
697,RT @SpaceX: SpaceX’s custom-tailored suits route the communications and cooling systems and protect the crew in the event of cabin depressu…
698,"RT @NASA: LIVE NOW: We are ready to #LaunchAmerica. Are you? <U+0001F680>

Watch coverage of the NASA @SpaceX Crew-1 mission. Liftoff is at 7:27pm ET:…"
699,RT @SpaceX: Watch Falcon 9 launch Crew Dragon on its first operational mission to the @space_station with astronauts on board <U+2192> https://t.c…
700,@tboneagnoobs Ok
701,RT @SpaceX: All systems are go for tonight’s launch at 7:27 p.m. EST of Crew Dragon’s first operational mission with four astronauts on boa…
702,"@KlotzAdam @PPathole @AstroJordy @erujabidi Yeah, I feel pretty normal. No symptoms right now. Last week, I had sym… https://t.co/gL0mhrqJxY"
703,"@PPathole @AstroJordy @erujabidi Doing tests from several different labs, same time of day, administered by RN &amp; am… https://t.co/hajhh7La7Q"
704,"@PPathole @Mario_Livio Both obv insanely great, too bad they had this pointless argument"
705,Astronaut launch today! https://t.co/3FAzZGss8c
706,"RT @NASA: <U+0001F338> @Astro_Soichi has a message for boys and girls in Japan: ""Space is waiting!"" 

In this @Tumblr Spotlight, @JAXA_en astronaut So…"
707,"RT @NASA: This week...

<U+0001F680> NASA's @SpaceX Crew-1 astronauts arrive at @NASAKennedy ahead of launch
<U+0001F534> Our @NASAPersevere rover marks 100 days…"
708,"RT @Astro_Soichi: #SpaceX #NASA #Crew1 just finished final dress rehearsal, getting ready for Saturday launch! Behind me is ""real"" #Dragon…"
709,@Mario_Livio No kids though
710,@Mario_Livio Hell of a wig collection too
711,@michaelmina_lab It would be great if labs could give people this level of granular feedback in their results
712,RT @michaelmina_lab: @elonmusk Great question! It’s more complex question and depends on why the test is being used - ie: do you want to kn…
713,Worth reading this thread if you’re curious about rona testing https://t.co/FA6kD61eBA
714,"@stonkmanup @michaelmina_lab They should be imo. If you get a blood pressure test, they tell you the number, not ju… https://t.co/tWl0Dgurmk"
715,"@AstroJordy @erujabidi A little up &amp; down. Feels just like a regular cold, but more body achy &amp; cloudy head than co… https://t.co/ihVPeox7m6"
716,"@michaelmina_lab In your opinion, at what Ct number for the cov2 N1 gene should a PCR test probably be regarded as… https://t.co/emuXLx698G"
717,@michaelmina_lab @stendeck77 !
718,"@teslaownerssv Cool, but please be super cautious. Expect two steps forward, one back. Lot of new code was merged."
719,@austinbarnard45 Just a scratch. We can buff it out.
720,"@erujabidi Am getting wildly different results from different labs, but most likely I have a moderate case of covid… https://t.co/XLBAHahJOj"
721,@WhatsupFranks @lexfridman NPCs all the way up
722,@lexfridman Ahem
723,Unless you’re on DMT
724,"Laws of thermodynamics:
1. You can’t win
2. You can’t break even
3. You can’t stop playing"
725,Shakes fist at entropy
726,@RealNattastic Big expansion of beta program in 6 to 8 weeks!
727,@robintosh_nunez @PPathole Interesting. My Thursday night saliva sample came back today with N1 gene (unique to cov… https://t.co/Tm7cs8oTdT
728,@ICannot_Enough @JohnnaCrider1 What’s honey?
729,@slashdot Feels that way
730,@WhatsupFranks @bluemoondance74 @StephenKing This seems accurate
731,@bluemoondance74 @StephenKing Cold symptoms are gone for now <U+0001F600><U+0001F680><U+0001F4AB>
732,@StephenKing There are degrees of pos
733,@MrSammy_H @pelagicbird @max_roi @rossy65 Heneghan makes a lot of sense. Hilarious that he has to clarify that he r… https://t.co/MlXngcSA9T
734,@WhatsupFranks The number of PCR amplification cycles required to detect the virus is a rough indicator of your vir… https://t.co/mn8192hUeQ
735,@MrSammy_H @max_roi @rossy65 This a great reference! Worth a read.
736,Case closed https://t.co/pUYiJcAdD6
737,Soon https://t.co/mWOpR7W8kk
738,"@PPathole Fwiw, lab I just spoke to thinks below 30 is accurate, 30 to 40 gets dicey &amp; above 40 is bs. Will talk to… https://t.co/K77wXQ11yt"
739,Lab I just spoke to said cov2 PCR detection (N1 &amp; N3 genes) below 30 cycles is reliable &amp; above 40 cycles is not
740,"@RationalEtienne @ryaneshea Note, this is not the spike protein. They don’t consider that reliable."
741,"@RationalEtienne @ryaneshea Just spoke directly to a testing lab. Their main PCR search is for the N1 gene, unique… https://t.co/x57OdvDAuO"
742,@PPathole Strange
743,@ryaneshea Possible explanation for the dramatic decline in cold &amp; flu prevalence vs prior years. If someone comes… https://t.co/gMLVEwwXDP
744,"@ryaneshea Moreover, lower the true prevalence, the higher the false positive number will be. This sounds obvious,… https://t.co/XvAbEkLh1q"
745,@ryaneshea From https://t.co/42z7vRPB9c https://t.co/XTSukcc3Tl
746,@dana_e_morgan Sure is
747,Would be great to hear from people who know a lot about the PCR testing industry. What’s the approximate false posi… https://t.co/lVc11nIkql
